"year","unitid","inst_name","state_name","level_of_study","enrollment_fall"
"1998","204699","OHIO STATE UNIVERSITY-MARION CAMPUS","Ohio","Undergraduate","1048"
"1998","204699","OHIO STATE UNIVERSITY-MARION CAMPUS","Ohio","Graduate","93"
"1998","204699","OHIO STATE UNIVERSITY-MARION CAMPUS","Ohio","Postbaccalaureate","93"
"1998","204705","OHIO STATE UNIVERSITY-NEWARK CAMPUS","Ohio","Undergraduate","1649"
"1998","204705","OHIO STATE UNIVERSITY-NEWARK CAMPUS","Ohio","Graduate","129"
"1998","204705","OHIO STATE UNIVERSITY-NEWARK CAMPUS","Ohio","Postbaccalaureate","129"
"1998","204796","OHIO STATE UNIVERSITY-MAIN CAMPUS","Ohio","Undergraduate","36252"
"1998","204796","OHIO STATE UNIVERSITY-MAIN CAMPUS","Ohio","Graduate","9538"
"1998","204796","OHIO STATE UNIVERSITY-MAIN CAMPUS","Ohio","First professional","2721"
"1998","204796","OHIO STATE UNIVERSITY-MAIN CAMPUS","Ohio","Postbaccalaureate","12259"
"1998","204802","OHIO UNIVERSITY-EASTERN CAMPUS","Ohio","Undergraduate","901"
"1998","204802","OHIO UNIVERSITY-EASTERN CAMPUS","Ohio","Graduate","187"
"1998","204802","OHIO UNIVERSITY-EASTERN CAMPUS","Ohio","Postbaccalaureate","187"
"1998","204820","OHIO UNIVERSITY-CHILLICOTHE BRANCH","Ohio","Undergraduate","1424"
"1998","204820","OHIO UNIVERSITY-CHILLICOTHE BRANCH","Ohio","Graduate","172"
"1998","204820","OHIO UNIVERSITY-CHILLICOTHE BRANCH","Ohio","Postbaccalaureate","172"
"1998","204839","OHIO UNIVERSITY-SOUTHERN CAMPUS","Ohio","Undergraduate","2753"
"1998","204839","OHIO UNIVERSITY-SOUTHERN CAMPUS","Ohio","Graduate","436"
"1998","204839","OHIO UNIVERSITY-SOUTHERN CAMPUS","Ohio","Postbaccalaureate","436"
"1998","204848","OHIO UNIVERSITY-LANCASTER BRANCH","Ohio","Undergraduate","1403"
"1998","204848","OHIO UNIVERSITY-LANCASTER BRANCH","Ohio","Graduate","222"
