year,unitid,inst_name,state_name,admission_rate,enrollement_rate,number_applied,number_admitted,number_enrolled_ft,number_enrolled_pt,number_enrolled_total,zip,region,inst_category,inst_size,longitude,latitude,default_rate,default_rate_denom,rev_tuition_fees_gross,rev_tuition_fees_net,rev_appropriations_local,rev_grants_contracts_local,rev_fed_approps_grants,rev_state_local_approps_grants,rev_gifts_grants_contracts,rev_other,rev_operating,rev_nonoperating,rev_total_current,exp_instruc_total,exp_research_total,exp_pub_serv_total,exp_res_pub_serv_total,exp_acad_supp_total,exp_student_serv_total,exp_total_current,exp_total_salaries,exp_total_benefits,endowment_beg,endowment_end,total_revenues_additions,total_expenses_deductions,completers_150pct,completion_rate_150pct,room_board_charge,independent_pct,female_pct,married_pct,faminc_med
2004,136172,UNIVERSITY OF NORTH FLORIDA,Florida,0.692428073,0.402642559,8307,5752,2229,87,2316,,,,,,,,,34816016,27139916,,4043844,10772269,78734912,,,56967956,74304952,161185920,54695316,7184015.5,8373700.5,15557716,18291528,14583294,148431712,72223088,16917448,52802616,66888252,161185920,148431712,735,0.49,,0.375608,0.639196,0.137428,32294.5
2005,136172,University of North Florida,Florida,0.619656718,0.421312632,9147,5668,2295,93,2388,,,,,,,,,49583388,31552598,,4260439,13772127,99568400,2970000,703434,58501860,102059352,190523968,65880960,7885081,9086482,16971564,15190852,16832370,162981840,,,66888252,76126888,190523968,162981840,748,0.45,,0.368047,0.632968,0.131547,33395
2006,136172,University of North Florida,Florida,0.683605634,0.419152794,8875,6067,2310,233,2543,,,,,,,,,52362772,33576560,,3961536,17417508,109613712,3551085,11147268,59489952,123804984,225495728,72774832,11020105,6117110.5,17137216,16368146,21073334,181038224,,,76126888,88785080,225495728,181038224,777,0.465,,0.360819,0.622492,0.124975,34026
2007,136172,University of North Florida,Florida,0.664261931,0.383792815,9010,5985,2037,260,2297,32224-2645,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Degree-granting, primarily baccalaureate or above","10,000-19,999",,,,,57168848,36351752,,2847176,31752862,95968056,5545942,15998538,69544672,133010272,243597712,75788128,7137193,7299295,14436488,18362210,20891186,192276736,,,88785080,95209240,243597712,192276736,842,0.451,,0.366383,0.611143,0.124457,34270
2008,136172,University of North Florida,Florida,0.479516358,0.350341145,7030,3371,1138,43,1181,32224-2645,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Degree-granting, primarily baccalaureate or above","10,000-19,999",,,,,63418516,41526020,,2434283,16705162,104863432,,4107167,74906128,118711224,226694928,79781896,8687248,4618211,13305459,17485652,21055760,205948368,108062472,,95209240,66990008,226694928,205948368,946,0.493,,0.350792,0.603355,0.115937,35000
2009,136172,University of North Florida,Florida,0.635790924,0.344790215,10159,6459,2011,216,2227,32224-2645,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Degree-granting, primarily baccalaureate or above","10,000-19,999",-81.5079,30.2709,,,73172912,47281140,,2841222,25734960,100616184,,8567020,86785072,127754648,224909792,67426072,7677658,3239341,10916999,14880968,18536984,215871424,112726512,,66990008,69830672,224909792,215871424,1032,0.469,,0.335592,0.592072,0.103337,35776
2010,136172,University of North Florida,Florida,0.507833787,0.33501006,11744,5964,1931,67,1998,,,,,,,,,82239024,51875380,,2962867,30472980,102654744,,6571220,92785968,129273392,243847840,71388048,8889382,3831834,12721216,18241896,17734642,232952640,122649744,,69830672,78038072,243847840,232952640,1133,0.495,,0.350863,0.592936,0.109419,35403
2011,136172,University of North Florida,Florida,0.494978739,0.324803509,11053,5471,1729,48,1777,32224-7699,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Degree-granting, primarily baccalaureate or above","10,000-19,999",-81.5079,30.2709,0.085,2364,93145696,63747288,,3366984,30734784,88878144,,6631035,103036080,116102280,219664800,70985504,7574897,4784651,12359548,20048556,18499232,241424224,123316696,1,78038072,75526632,219664800,241424224,1106,0.48,,0.36737,0.587629,0.116675,33306
2012,136172,University of North Florida,Florida,0.520072993,0.297506925,10412,5415,1582,29,1611,32224-7699,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Degree-granting, primarily baccalaureate or above","10,000-19,999",-81.5079,30.2709,0.088,2464,101649104,69658432,,2155944,26915652,82274592,,12917768,110473952,110337952,222475984,74465488,5215038,4533594,9748632,21607868,18963500,240422640,99053600,24297078,75526632,84181776,222475984,240422640,1023,0.5,,0.377096,0.594432,0.115153,31606.5
2013,136172,University of North Florida,Florida,0.534273625,0.284230905,10635,5682,1579,36,1615,,,,,,,0.075,2694,103776768,72337976,,1799433,24607468,96345360,,13840872,113984504,124169920,248724544,76563216,4485521,4079572,8565093,22827052,19449096,247985952,101380480,27549576,84181776,95840368,248724544,247985952,935,0.552,,0.358312,0.604377,0.105479,32592
2014,136172,University of North Florida,Florida,0.60570199,0.275606868,11154,6756,1795,67,1862,32224-7699,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Degree-granting, primarily baccalaureate or above","10,000-19,999",-81.5079,30.2709,0.047,3001,105819288,73826472,,2232198,24257918,107152680,,17088730,123361096,133195896,273486816,86054176,4114077,5478269,9592346,24491340,20429194,265777104,108712824,31550496,,,273486816,265777104,1110,0.548,,0.335295,0.610266,0.0969429,34873
2015,136172,University of North Florida,Florida,0.566042928,0.255550154,10902,6171,1512,65,1577,,,,,,,0.059,3300,105256544,75499696,,2201581,21839660,110484296,,19256532,123540344,139422160,269580480,112719280,6286842,7147851,13434693,32241584,25319918,274116032,114177784,32647056,99207096,97386440,269580480,274116032,1034,0.537,,0.319899,0.614314,0.0919935,36383
2016,136172,University of North Florida,Florida,0.645337564,0.270554493,11346,7322,1861,120,1981,,,,,,,0.058,3392,109525048,78081192,,1660001,22276328,102615976,,19472524,129356464,128950272,278519328,104036912,7028490,6050265,13078755,33572952,24535108,277260448,117225088,32605064,97386440,107074464,278519328,277260448,988,0.573,,0.290769,0.614548,0.082032,37074
2017,136172,University of North Florida,Florida,0.587137365,0.273008692,14305,8399,2162,131,2293,32224-7699,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Degree-granting, primarily baccalaureate or above","10,000-19,999",-81.5091,30.2719,0.034,3448,114607832,79762944,,1617335,25392680,114333736,,21576704,130901232,145063056,287190816,96226936,6290319,6648764,12939083,33141404,23504564,291437536,121084720,54993756,107074464,113315560,287190816,291437536,,,,,,,
1990,137351,UNIVERSITY OF SOUTH FLORIDA,Florida,,,,,,,,33620,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV",,,,,,,42582260,,,1161208,27013968,209556960,32617058,7403096,,,351344160,127005224,42917432,22462740,65380172,41614480,13605519,341382432,184601456,31382248,,,,,,,,,,,
1991,137351,UNIVERSITY OF SOUTH FLORIDA,Florida,,,,,,,,33620,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV",,,,,,,56784488,,,2021800,41174008,199028224,38519528,5424151,,,373307616,141242896,36971012,21719416,58690428,42010004,11381222,359775424,188100480,38553644,,,,,,,,,,,
1992,137351,UNIVERSITY OF SOUTH FLORIDA,Florida,,,,,,,,33620,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV",,,,,,,65899628,,,3618547,47065768,201112304,1480750,3505266,,,397073472,151434688,37877408,16550720,54428128,45149896,11077077,388536960,195018752,38799768,,,,,,,,,,,
1993,137351,UNIVERSITY OF SOUTH FLORIDA,Florida,,,,,,,,,,,,,,,,57976616,,,2859864,44284024,215084224,48220808,1534462,,,400612352,151087744,36807456,19450796,56258252,59215712,12586299,396646432,205557632,43241392,,,,,,,,,,,
1994,137351,UNIVERSITY OF SOUTH FLORIDA,Florida,,,,,,,,,,,,,,,,57028912,,,,43352132,231207328,47185032,2028188,,,430731936,178233248,58159424,16702168,74861592,23735360,11756953,427879488,210572704,41968764,,,,,,,,,,,
1995,137351,UNIVERSITY OF SOUTH FLORIDA,Florida,,,,,,,,,,,,,,,,54386028,,,,46850716,240681504,51845104,2908431,,,455841888,164385440,64820320,15487228,80307552,47091544,13597094,453608768,219960000,44013160,,,,,,,,,,,
1996,137351,UNIVERSITY OF SOUTH FLORIDA,Florida,,,,,,,,,,,,,,,,60838640,,,,51583952,252444432,63107504,3076876,,,478634848,170039840,72578872,16991906,89570776,63762520,14798576,478937984,232275168,44778644,96103536,135843456,,,823,0.474,,,,,
1997,137351,UNIVERSITY OF SOUTH FLORIDA,Florida,,,,,,,,,,,,,,,,63474444,,,,55125112,267159040,60776240,3942541,,,501165632,160491776,96460648,16737055,113197704,65712000,16686850,494738688,244492576,48596732,135843456,172406496,,,938,0.487,,0.435739,0.617136,0.149363,20827
1998,137351,UNIVERSITY OF SOUTH FLORIDA,Florida,,,,,,,,33620,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV",,,,,,,62582944,,,,53658600,308720448,70200680,3041890,,,553544832,189456592,88693440,14969154,103662592,59250824,24051856,561766848,268175456,50358964,172406496,184434096,,,791,0.459,,0.411274,0.61868,0.143959,22019.5
1999,137351,UNIVERSITY OF SOUTH FLORIDA,Florida,,,,,,,,,,,,,,,,68711544,,,,71197888,302626688,78921704,3202515,,,579945216,192296640,100294328,13882615,114176944,68300192,24348150,576495616,283019360,41643300,184434096,220927968,,,811,0.444,,0.3791,0.625015,0.131656,23783
2000,137351,UNIVERSITY OF SOUTH FLORIDA,Florida,,,,,,,,336209951,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV",,,,,,,76565936,,,,81835232,343578656,80840632,3556941,,,674891456,210301984,122921128,10877480,133798608,79291000,26427912,664842624,311734368,43796880,220927968,234223184,,,842,0.435,,0.372018,0.632273,0.128192,25268.5
2001,137351,UNIVERSITY OF SOUTH FLORIDA,Florida,0.668709183,0.486737401,12403,8294,3387,650,4037,,,,,,,,,105790160,88378416,,84319872,98110872,374270976,,12176045,371643488,274780096,670440384,237281920,152857648,10386485,163244128,77298560,25636720,703677504,254932688,45722964,,,670440384,703677504,1081,0.459,,0.345394,0.628531,0.11932,26885
2002,137351,UNIVERSITY OF SOUTH FLORIDA,Florida,0.62164758,0.485381507,13535,8414,3537,547,4084,33620-9951,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV",,,,,,,109990072,87518952,,103557048,142871872,431687424,,7499248,453446752,311211072,807426688,250041664,149199232,8483740,157682976,70933064,28096634,736941568,365057248,68606312,,,807426688,736941568,1102,0.492,,0.323975,0.629318,0.107283,28367.5
2003,137351,UNIVERSITY OF SOUTH FLORIDA,Florida,0.617584404,0.492839971,15491,9567,4178,537,4715,33620-9951,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV",,,,,,,135677392,111551856,,88632848,156285488,417159264,,7561657,466831424,300899808,825462336,259310064,186636784,10599966,197236752,72114504,25278248,756787008,393722176,78850296,,,825462336,756787008,1185,0.467,,0.321626,0.634044,0.10224,29380
2004,137351,UNIVERSITY OF SOUTH FLORIDA,Florida,0.510895884,0.491580115,19411,9917,4156,719,4875,,,,,,,,,156304720,114577472,,101194192,209639456,438237856,,7233165,477116704,365591008,904947264,276347360,213922720,9919095,223841808,95033680,32101638,855471872,415440640,85268416,,,904947264,855471872,1484,0.475,,0.325716,0.62296,0.103181,29348
2005,137351,University of South Florida,Florida,0.283063152,0.830119553,18321,5186,3992,313,4305,,,,,,,,,169686800,124251344,,97928656,177790400,487965984,,7754933,480309536,384767360,912679680,283315200,223013392,10917198,233930592,96219320,29634182,877358976,455024160,96157000,298240512,329832096,912679680,877358976,1616,0.487,,0.341618,0.614546,0.112983,29322
2006,137351,University of South Florida,Florida,0.512376458,0.387957251,22462,11509,4032,433,4465,,,,,,,,,181693952,133962000,,124713864,167346864,601663488,,8216072,533553600,473109632,1106992384,291492672,260413376,12670801,273084192,96516464,36263436,958720000,472602656,103617624,329832096,388500000,1106992384,958720000,1838,0.493,,0.344965,0.614738,0.112787,30271.5
2007,137351,University of South Florida,Florida,0.496700064,0.324501721,25152,12493,3977,77,4054,33620-9951,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Degree-granting, primarily baccalaureate or above","20,000 and above",,,,,194510800,142201472,,112881704,161764064,576760896,,17273980,538543040,464246912,1112080000,290407808,261772944,12679465,274452416,96629824,38345688,977784000,475153088,107562688,388500000,360000000,1112080000,977784000,2015,0.481,,0.350964,0.611257,0.110842,31281.5
2008,137351,University of South Florida,Florida,0.455994969,0.365649846,27031,12326,4302,205,4507,33620-9951,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Degree-granting, primarily baccalaureate or above","20,000 and above",,,,,195831424,142968432,,95299840,195766640,475838144,,8102981,536904256,395904704,981114176,266808224,249744000,8149881,257893888,78058512,33838600,897722752,431797760,94529896,337247136,258098048,981114176,897722752,2260,0.482,,0.351604,0.60313,0.109819,32658.5
2009,137351,University of South Florida-Main Campus,Florida,0.424351998,0.326837088,27932,11853,3769,105,3874,33620-9951,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Degree-granting, primarily baccalaureate or above","20,000 and above",-82.4116,28.0546,,,212545760,147101728,,104996536,233730288,455327008,,10328010,566312960,402411648,1022274880,280949088,267596624,5844510,273441120,82464728,36212828,970866048,460654144,103233984,258098048,277005760,1022274880,970866048,2071,0.514,,0.337479,0.59973,0.101446,33301
2010,137351,University of South Florida-Main Campus,Florida,0.445377287,0.348618912,29182,12997,4480,51,4531,,,,,,,,,238619200,157841408,,112798056,232273984,469870368,,9860641,573012608,416563392,1006089536,281745536,276479520,6437654,282917184,87650624,39544224,1001266688,488641184,112155552,277005760,327233952,1006089536,1001266688,2030,0.517,,0.326219,0.598255,0.097282,32302
2011,137351,University of South Florida-Main Campus,Florida,0.380454888,0.312955794,29194,11107,3448,28,3476,33620-9951,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Degree-granting, primarily baccalaureate or above","20,000 and above",-82.4159,28.0566,0.098,7677,276200480,193546208,,112153920,223454848,457180992,,4619061,591226432,398211008,1046530816,310476256,277638048,6923677,284561728,96737808,42499920,1079230208,531499904,107124224,327233952,312899392,1046530816,1079230208,2262,0.566,,0.328711,0.592927,0.100648,30628
2012,137351,University of South Florida-Main Campus,Florida,0.432059411,0.313928977,28547,12334,3831,41,3872,,,,,,,0.1,8530,307150432,215710112,,118051112,232404880,418282784,,9000833,642805120,350272608,1003560960,301049984,271361984,5778909,277140896,94019528,38957600,1158476544,523757984,103019336,312899392,332403040,1003560960,1158476544,2373,0.632,,0.323466,0.586157,0.0974919,29981
2013,137351,University of South Florida-Main Campus,Florida,0.452441077,0.302635659,28512,12900,3860,44,3904,,,,,,,0.074,9105,328051136,234159008,,123203776,235609520,467109856,22040732,10026098,670073664,426768320,1140318336,320788448,269656512,6407738,276064256,101749832,36869468,1097028608,545991552,120104528,332403040,387862464,1140318336,1097028608,2609,0.672,,0.296418,0.586994,0.085951,31335
2014,137351,University of South Florida-Main Campus,Florida,0.531615175,0.313760915,24988,13284,4124,44,4168,,,,,,,0.053,9689,341765760,243468096,,135651696,236932224,503985440,25356696,11135192,712566464,435181920,1181960832,338618112,287732192,6919113,294651296,105815128,41389044,1142316032,556911232,129485592,387862464,388346304,1181960832,1142316032,2568,0.684,,0.281043,0.592754,0.0803491,32811
2015,137351,University of South Florida-Main Campus,Florida,0.446352779,0.30694383,30393,13566,4121,43,4164,,,,,,,0.052,10013,358410528,257372128,,161388528,244602320,540294720,23548658,12165355,769255616,443654400,1240978048,364972000,312314816,5877635,318192448,120219720,44538960,1207247616,596594624,137017824,388346304,367691936,1240978048,1207247616,3008,0.675,,0.276138,0.599421,0.0775477,33193
2016,137351,University of South Florida-Main Campus,Florida,0.466326673,0.303595506,28628,13350,4022,31,4053,,,,,,,0.05,10105,361018048,260294176,,166209104,251718992,558554176,22340424,17639390,800160128,465011488,1303116544,356587232,322671584,7354583,330026176,130172112,47576040,1247128448,639339840,145817808,367691936,410311552,1303116544,1247128448,2432,0.709,,0.27238,0.605736,0.0716285,32495
2017,137351,University of South Florida-Main Campus,Florida,0.453606311,0.287439614,31944,14490,4107,58,4165,33620-9951,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Degree-granting, primarily baccalaureate or above","20,000 and above",-82.4132,28.0615,0.034,10483,368620064,249570224,,195209536,271912576,644696640,20403200,15213967,825595584,529279744,1389027328,378698912,340530560,7153485,347684032,136316560,48003072,1348520704,669134336,156281200,410311552,444449920,1389027328,1348520704,,,,,,,
1990,139658,EMORY UNIVERSITY,Georgia,,,,,,,,30322,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV",,,,,,,114276656,,,,67348352,3822144,30679656,13338664,,,781146496,129794656,66491864,2296891,68788752,39531084,16618391,747481792,178439952,37214736,,,,,,,,,,,
1991,139658,EMORY UNIVERSITY,Georgia,,,,,,,,30322,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV",,,,,,,126972408,,,,75167736,3588760,31885186,22061212,,,880199488,148761664,71936512,1507714,73444224,42573508,18374726,801383680,197888864,41022692,,,,,,,,,,,
1992,139658,EMORY UNIVERSITY,Georgia,,,,,,,,30322,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV",,,,,,,138102400,,,,86878008,2985789,36692380,32875862,,,962111040,165175120,82478504,1157595,83636096,50928508,20085812,885669312,221778096,39530380,,,,,,,,,,,
1993,139658,EMORY UNIVERSITY,Georgia,,,,,,,,30322,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV",,,,,,,151813696,,,,97434240,3222761,42573920,684413,,,990612608,191132976,94255728,1448129,95703856,57670948,21227110,961494400,251727424,38972716,,,,,,,,,,,
1994,139658,EMORY UNIVERSITY,Georgia,,,,,,,,,,,,,,,,165870272,,,,107070216,2961715,46883592,33320126,,,1109776640,209418512,105065720,3636222,108701944,36980820,21921184,1061150592,274054080,40141528,,,,,,,,,,,
1995,139658,EMORY UNIVERSITY,Georgia,,,,,,,,30322,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV",,,,,,,179511344,,,,115035664,3205284,48152184,34221716,,,1156543104,224998112,107980392,3737096,111717488,38006720,23552000,1106292736,289355328,41255112,,,,,,,,,,,
1996,139658,EMORY UNIVERSITY,Georgia,,,,,,,,30322,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV",,,,,,,189100592,139618400,,,117496248,3452393,98371848,,,,1740013056,263156544,135387488,11657915,147045408,48070112,29433608,1154808448,,,,,1740013056,1154808448,1110,0.784,,,,,
1997,139658,EMORY UNIVERSITY,Georgia,,,,,,,,30322,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV",,,,,,,144645472,144645472,,,129993184,2416774,420191552,22929176,,,2015753984,274796960,147683680,12301674,159985360,52622152,32363492,1427635968,739257984,112815520,,,2015753984,1427635968,1195,0.809,,0.0807955,0.586078,0.0211311,49127
1998,139658,EMORY UNIVERSITY,Georgia,,,,,,,,30322,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV",,,,,,,157839680,157839680,,,147170288,1961247,95958064,30978200,,,1673656960,309712640,182493504,14438880,196932384,61300384,36350332,1581267968,792970944,128114528,,,1673656960,1581267968,1199,0.853,,0.0731272,0.586207,0.019025,53522.5
1999,139658,EMORY UNIVERSITY,Georgia,,,,,,,,,,,,,,,,224410864,166438608,,,163940688,2466826,40826276,47357008,,,1928127104,297530432,159844176,14579063,174423232,50106004,34908328,1664259072,836911424,135602832,,,1928127104,1664259072,1183,0.822,,0.0956573,0.61561,0.0264085,53079.5
2000,139658,EMORY UNIVERSITY,Georgia,,,,,,,,30322,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV",,,,,,,244702064,180999984,,,186802960,2162308,128120864,-15901550,,,1145582976,311015744,178403856,15026352,193430208,51141688,37793784,1772315136,883643776,165370512,,,1145582976,1772315136,1323,0.834,,0.107635,0.616395,0.0250313,55177.5
2001,139658,EMORY UNIVERSITY,Georgia,0.447691656,0.298249763,9444,4228,1261,0,1261,,,,,,,,,257092080,188334288,,,202852480,1565708,236410704,-21558020,,,1714433664,363088032,215702256,16125693,231827952,68682992,47012244,1854805376,934303424,161303680,,,1714433664,1854805376,1214,0.805,,0.116019,0.602473,0.0235571,56832
2002,139658,EMORY UNIVERSITY,Georgia,0.425228785,0.325996576,9616,4089,1333,0,1333,30322,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV",,,,,,,276297536,201612352,,,247713104,1961110,155417184,-13298567,,,1849774976,398134208,259392416,19633292,279025696,76243216,48073976,2043568896,1000358464,171295632,4091341568,3849097472,1849774976,2043568896,1269,0.859,,0.163132,0.617727,0.0282762,53516
2003,139658,EMORY UNIVERSITY,Georgia,0.423128001,0.322790922,9789,4142,1337,0,1337,30322,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV",,,,,,,293590016,211588992,,,268668000,621000,105938000,-5513000,,,2483030016,423452000,275008992,22155000,297164000,82662000,60022000,2214256896,1031330752,221025152,3849097472,4085830656,2483030016,2214256896,1392,0.823,,0.16442,0.625337,0.0307278,57045
2004,139658,EMORY UNIVERSITY,Georgia,0.420073274,0.297452375,10372,4357,1296,,1296,,,,,,,,,312632000,225087008,,,294430016,3802000,102980000,300100992,,,3018867968,428464992,290507008,22460000,312967008,99876000,66000000,2350209024,1113554304,235192192,4085830656,4347880960,3018867968,2350209024,1309,0.864,,0.195084,0.628776,0.0394265,55040
2005,139658,Emory University,Georgia,0.385986807,0.294688222,11218,4330,1276,,1276,30322,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Degree-granting, primarily baccalaureate or above","10,000-19,999",,,,,344056992,248959008,,,297612000,7629000,135746000,12002000,,,3015472128,471923008,299862016,23859000,323721024,105640000,65565000,2550025984,1216654464,257201072,4347880960,5024778752,3015472128,2550025984,1309,0.854,,0.222443,0.645978,0.0466733,51371
2006,139658,Emory University,Georgia,0.365914578,0.286461889,12011,4395,1259,,1259,30322,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Degree-granting, primarily baccalaureate or above","10,000-19,999",,,,,366996992,261076992,,,289497984,4486000,397195008,-9788000,,,3621223936,474960992,304856992,25998000,330854976,112005000,74856000,2672680960,1268203264,271540768,5024778752,5782438912,3621223936,2672680960,1350,0.873,,0.20039,0.63725,0.0502194,55469
2007,139658,Emory University,Georgia,0.31887217,0.295479603,14222,4535,1340,0,1340,30322,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Degree-granting, primarily baccalaureate or above","10,000-19,999",,,,,400123008,284918016,,,318428000,23587000,140812992,-38273000,,,2566256128,527777984,350620000,28479000,379099008,110725000,76665000,2832473088,1363922944,296748992,5782438912,5515479040,2566256128,2832473088,1348,0.865,,0.206946,0.611323,0.0513796,55752.5
2008,139658,Emory University,Georgia,0.271703762,0.296047904,15366,4175,1235,1,1236,30322,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Degree-granting, primarily baccalaureate or above","10,000-19,999",,,,,428460000,295649984,,,339239008,12660000,126376000,-51016000,,,2000936960,504942016,371660992,50113000,421773984,108512000,85131000,3022078976,1463240960,330632992,5515479040,4601487872,2000936960,3022078976,1404,0.88,,0.182158,0.60439,0.0401681,57041
2009,139658,Emory University,Georgia,0.266192824,0.275193798,17446,4644,1277,1,1278,30322,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Degree-granting, primarily baccalaureate or above","10,000-19,999",-84.3265,33.7905,,,448688992,296956992,,,393251008,,132484000,-127432000,,,3217923072,533935008,390670016,47672000,438342016,109857000,76061000,3133353984,1490142976,323555008,4601487872,4841490432,3217923072,3133353984,1397,0.88,,0.124195,0.604416,0.0289788,57132
2010,139658,Emory University,Georgia,0.296621578,0.284201426,15599,4627,1315,0,1315,,,,,,,,,483251008,315966016,,,428438016,,162699008,93041000,,,4028099072,512196000,413831008,61568000,475399008,112854000,67349000,3367734016,1636226048,360337984,4841490432,5443397632,4028099072,3367734016,1439,0.882,,0.118381,0.602669,0.0322858,54226
2011,139658,Emory University,Georgia,0.288745981,0.302004454,15550,4490,1356,0,1356,30322,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Degree-granting, primarily baccalaureate or above","10,000-19,999",-84.3258,33.7988,0.017,1947,512680000,328896992,,,422745984,,228082000,54740000,,,4200850944,532400992,409088000,69308000,478396000,119329000,72706000,3849595904,1867272960,393228992,5443397632,5774499328,4200850944,3849595904,1471,0.893,,0.14233,0.596801,0.0389664,53415
2012,139658,Emory University,Georgia,0.266846836,0.295464553,17021,4542,1342,0,1342,,,,,,,0.023,2066,544183488,355447008,,,418798016,,272777984,118887000,,,4629508096,540561984,413759008,78430000,492188992,120790000,72913000,4009093120,1994652032,427774016,5774499328,6115581440,4629508096,4009093120,1431,0.896,,0.150022,0.604083,0.0426099,51454
2013,139658,Emory University,Georgia,0.263347639,0.296175576,17475,4602,1363,0,1363,30322,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Degree-granting, primarily baccalaureate or above","10,000-19,999",-84.3258,33.7988,0.024,2247,592384512,376951008,,,394372000,,242512992,20140000,,,5035234816,621507008,404544000,82469000,487012992,131113000,76848000,4148794112,2060397952,438120000,6115581440,6981307904,5035234816,4148794112,1477,0.889,,0.149156,0.628518,0.0459662,50010
2014,139658,Emory University,Georgia,0.268206339,0.285983658,17796,4773,1365,0,1365,30322,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Degree-granting, primarily baccalaureate or above","10,000-19,999",-84.3258,33.7988,0.021,2364,581585984,370916000,,,398974016,,198644992,22406000,,,4059500032,622278016,420684000,88939000,509623008,139791008,76358000,4342496768,2164012032,459968992,6981307904,6787163136,4098757888,4375897088,1150,0.894,,0.276468,0.628446,0.0599281,43206
2015,139658,Emory University,Georgia,0.236726527,0.279736137,20492,4851,1357,0,1357,,,,,,,0.015,2329,602561984,382072992,,,428396000,,231647008,8054000,,,4726164992,652083968,447776992,95509000,543286016,140148992,80205000,4674041856,2311079936,497215008,6787163136,6902624768,4766415872,4713081856,1197,0.906,,0.275126,0.636935,0.0527638,42951
2016,139658,Emory University,Georgia,0.252911062,0.269497916,19924,5039,1358,0,1358,30322,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Degree-granting, primarily baccalaureate or above","10,000-19,999",-84.3255,33.7902,0.014,2396,634928000,394512992,,,471447008,,245827008,4701351,,,5621919744,706683008,490304992,101845000,592150016,146470000,86493000,4934899200,2460219904,526124992,6902624768,7613022208,5664205824,4976513024,1210,0.909,,0.107807,0.660648,0.0217738,56041
2017,139658,Emory University,Georgia,0.220406788,0.265189148,23747,5234,1388,0,1388,30322,"Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Degree-granting, primarily baccalaureate or above","10,000-19,999",-84.3255,33.7902,0.017,2331,666374976,405996000,,,550440000,,538425024,8588000,,,6137350144,754419968,516489984,119259000,635748992,158513904,93830000,5306099200,2663708160,576160000,7613022208,7985467392,6183311872,5347953152,,,,,,,
