"year","unitid","inst_name","state_name","years_since_entering_repay","repay_rate","repay_rate_female","repay_rate_male","repay_rate_firstgen","repay_count_female","repay_count_male","repay_count_firstgen"
"2016","140960","Savannah State University","Georgia","5","0.254893","0.255672","0.254","0.25641","1146","1000","819"
"2016","140960","Savannah State University","Georgia","7","0.319176","0.328144","0.308762","0.317276","835","719","602"
"2016","141264","Valdosta State University","Georgia","3","0.408343","0.406718","0.410913","0.36551","3275","2071","1844"
"2016","141264","Valdosta State University","Georgia","5","0.498798","0.494249","0.505403","0.46393","2956","2036","1705"
"2016","141264","Valdosta State University","Georgia","7","0.568867","0.57316","0.562419","0.541638","2310","1538","1453"
"2016","141334","University of West Georgia","Georgia","3","0.434446","0.424192","0.45","0.412099","3034","2000","1934"
"2016","141334","University of West Georgia","Georgia","5","0.520071","0.520307","0.519707","0.533453","2733","1776","1674"
"2016","141334","University of West Georgia","Georgia","7","0.566376","0.546723","0.599017","0.576087","2365","1424","1472"
"2016","173124","Bemidji State University","Minnesota","3","0.675524","0.667121","0.685738","0.653302","1466","1206","848"
"2016","173124","Bemidji State University","Minnesota","5","0.689627","0.683333","0.696864","0.653171","1320","1148","741"
"2016","173124","Bemidji State University","Minnesota","7","0.735572","0.721722","0.750827","0.662116","999","907","586"
"2016","173920","Minnesota State University-Mankato","Minnesota","3","0.699252","0.694304","0.704918","0.680295","3353","2928","1761"
"2016","173920","Minnesota State University-Mankato","Minnesota","5","0.772131","0.783905","0.759476","0.73696","3119","2902","1783"
"2016","173920","Minnesota State University-Mankato","Minnesota","7","0.829503","0.8397","0.817031","0.813078","2801","2290","1514"
"2016","174020","Metropolitan State University","Minnesota","3","0.567477","0.56044","0.577549","0.537815","2639","1844","1666"
"2016","174020","Metropolitan State University","Minnesota","5","0.638829","0.629678","0.653576","0.628734","2298","1426","1406"
"2016","174020","Metropolitan State University","Minnesota","7","0.699378","0.691566","0.711485","0.69305","1660","1071","1036"
"2016","174066","University of Minnesota-Twin Cities","Minnesota","3","0.746965","0.733959","0.76193","0.712837","6390","5553","2563"
"2016","174066","University of Minnesota-Twin Cities","Minnesota","5","0.784998","0.779845","0.791015","0.73113","6341","5431","2663"
"2016","174066","University of Minnesota-Twin Cities","Minnesota","7","0.808597","0.805004","0.813039","0.772581","5595","4525","2480"
"2016","174075","University of Minnesota-Crookston","Minnesota","3","0.701075","0.695842","0.706131","0.586441","457","473","295"
"2016","174075","University of Minnesota-Crookston","Minnesota","5","0.716321","0.714724","0.717489","0.666667","326","446","255"
"2016","174075","University of Minnesota-Crookston","Minnesota","7","0.802365","0.793388","0.808571","0.75","242","350","192"
"2016","174233","University of Minnesota-Duluth","Minnesota","3","0.752904","0.736427","0.768203","0.735644","2155","2321","1010"
"2016","174233","University of Minnesota-Duluth","Minnesota","5","0.791959","0.787923","0.795743","0.775811","2070","2208","1017"
"2016","174233","University of Minnesota-Duluth","Minnesota","7","0.847921","0.847001","0.848831","0.841561","1817","1839","871"
"2016","174251","University of Minnesota-Morris","Minnesota","3","0.728198","0.716535","0.742671","0.688","381","307","125"
"2016","174251","University of Minnesota-Morris","Minnesota","5","0.784661","0.789203","0.778547","0.74","389","289","150"
"2016","174251","University of Minnesota-Morris","Minnesota","7","0.809595","0.8125","0.80602","0.782609","368","299","184"
"2016","174358","Minnesota State University Moorhead","Minnesota","3","0.663996","0.677343","0.645053","0.637199","2123","1496","871"
"2016","174358","Minnesota State University Moorhead","Minnesota","5","0.698945","0.707529","0.688","0.67094","2072","1625","936"
"2016","174358","Minnesota State University Moorhead","Minnesota","7","0.769463","0.78874","0.744651","0.743902","1865","1449","902"
"2016","174783","Saint Cloud State University","Minnesota","3","0.6622","0.651282","0.67505","0.638454","3510","2982","2044"
"2016","174783","Saint Cloud State University","Minnesota","5","0.725887","0.730684","0.720533","0.698367","3598","3224","2082"
"2016","174783","Saint Cloud State University","Minnesota","7","0.81234","0.818725","0.804542","0.802204","3012","2466","1724"
"2016","175078","Southwest Minnesota State University","Minnesota","3","0.659356","0.655699","0.664474","0.624096","851","608","415"
"2016","175078","Southwest Minnesota State University","Minnesota","5","0.72198","0.719451","0.725524","0.687805","802","572","410"
"2016","175078","Southwest Minnesota State University","Minnesota","7","0.764158","0.76569","0.762238","0.761388","717","572","461"
"2016","175272","Winona State University","Minnesota","3","0.753657","0.755995","0.749828","0.743202","2377","1451","993"
"2016","175272","Winona State University","Minnesota","5","0.805061","0.815583","0.789068","0.785029","2169","1427","1042"
"2016","175272","Winona State University","Minnesota","7","0.868863","0.877635","0.853211","0.856202","1945","1090","911"
"2016","200800","University of Akron Main Campus","Ohio","3","0.458863","0.437536","0.482359","0.428051","6932","6292","6317"
"2016","200800","University of Akron Main Campus","Ohio","5","0.516638","0.507511","0.526745","0.484561","6790","6132","6315"
