"year","unitid","inst_name","state_name","number_applied","number_admitted","number_enrolled_ft","number_enrolled_pt","number_enrolled_total","zip","county_name","region","inst_control","institution_level","sector","postsec_public_active_title_iv","longitude","latitude","rev_tuition_fees_gross","rev_tuition_fees_net","rev_appropriations_fed","rev_appropriations_state","rev_appropriations_local","rev_grants_contracts_federal","rev_grants_contracts_state","rev_grants_contracts_local","rev_gifts_grants_contracts","rev_total_current","sch_total_student_aid","sch_exp_net_fellowships","exp_instruc_total","exp_instruc_salaries","exp_res_pub_serv_total","exp_res_pub_serv_salaries","exp_acad_inst_student_total","exp_acad_inst_student_salaries","exp_aux_ent_total","exp_aux_ent_salaries","exp_net_grant_aid_total","exp_net_grant_aid_salaries","exp_total_current","exp_total_salaries","endowment_beg","endowment_end","total_revenues_additions","total_expenses_deductions","net_position_beginning","net_position_end","cpi","hepi","heca","calc_fte"
"2017","137351","University of South Florida-Main Campus","Florida","31944","14490","4107","58","4165","33620-9951","Hillsborough County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-82.4132","28.0615","368620064","249570224","","372736960","","271912576","76750128","195209536","20403200","1389027328","196153632","77103792","378698912","270403616","347684032","144462336","278249472","150495792","175222944","57497344","77103792","","1348520704","669134336","410311552","444449920","1389027328","1348520704","1037795776","776139776","101.91","","","36217"
"2017","137759","Tallahassee Community College","Florida","","","","","","32304-2895","Leon County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-84.339","30.4439","28881852","16417704","","33146580","","30014264","12239238","965298","279426","104463600","27392120","14927972","38752968","16726279","24126","10413","51308996","22145624","4965156","2143025","14927972","","109979216","41025340","10785564","7062118","104463600","109979216","107691976","100268616","101.91","","","8232"
"2017","138187","Valencia College","Florida","","","","","","32835","Orange County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-81.4715","28.5209","114602528","68624624","","85826704","","92022096","13327245","","","280358016","98535560","45907812","114477400","71192344","","","120419232","56750920","17777168","1260865","45907812","","298581632","129204128","72895864","78317856","280358016","298581632","285804992","265521712","101.91","","","27734"
"2017","138354","The University of West Florida","Florida","5774","2863","1086","18","1104","32514-5750","Escambia County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-87.2185","30.5491","86719304","61056068","","129126488","","26554788","17381356","162669","8390232","261701168","47345572","21682340","66885320","45894116","71615248","19129344","70383976","33416364","17105448","7794995","21682340","","263301248","106234816","61964356","63374936","261701168","263301248","208866624","143130032","101.91","","","9587"
"2017","138558","Abraham Baldwin Agricultural College","Georgia","1927","1353","723","160","883","31793-2601","Tift County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-83.5283","31.4819","22463666","12856650","","24770790","","13154159","1277104","651509","665093","65142184","20198164","7190587","22600880","12926851","1302150","377719","23556112","8023367","9361254","1667832","7190587","","64010984","22995768","15496798","16525790","65142184","64010984","74544688","31133268","101.91","","","2843"
"2017","138691","Darton State College","Georgia","","","","","","31707-3098","Dougherty County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Institution is not active in current universe","-84.2121","31.5836","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017","138716","Albany State University","Georgia","","","","","","31705","Dougherty County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-84.1418","31.5693","30297832","18500136","","35730520","","27480080","1174740","1912960","2134666","134381888","20399004","8601310","33783684","21181108","4169175","1812641","31669724","14874358","25100176","2955512","8601310","","113574784","43262544","2018819","2342135","134381888","113574784","47285648","3361872","101.91","","","5103"
"2017","138789","Armstrong State University","Georgia","2272","1809","817","117","934","31419-1997","Chatham County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-81.1618","31.9791","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.91","","","5707"
"2017","138901","Atlanta Metropolitan State College","Georgia","","","","","","30310-4448","Fulton County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-84.4047","33.7089","7313244","5036451","","10649511","","7634394","97899","37823","860148","33212504","5025352","2748559","7475110","5496308","425236","131585","10764848","5771958","393618","106739","2748559","","26913980","12925108","","199455","33212504","26913980","11410541","1223534","101.91","","","1654"
"2017","139010","Bainbridge State College","Georgia","","","","","","39819","Decatur County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-84.535","30.8995","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.91","","","997"
"2017","139250","College of Coastal Georgia","Georgia","1562","1479","679","84","763","31520-3644","Glynn County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-81.486","31.1827","14152883","7452994","","15280604","","7113776","54594","","1448315","37178624","9426125","2726236","18576496","10000720","153492","121807","11113169","5560282","5494402","929148","2726236","","39581380","18040836","8101234","8818904","37178624","39581380","50767040","27722938","101.91","","","2801"
"2017","139311","Clayton  State University","Georgia","2417","1010","546","91","637","30260-0285","Clayton County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-84.3282","33.5941","36665192","26147492","","25534924","","19842756","30584","239267","786881","91683896","21787188","9127748","32146826","21569600","807112","407703","34979216","17262400","12902913","2871688","9127748","","89963816","42111392","10008248","11758941","91683896","89963816","32798496","-20932680","101.91","","","5134"
"2017","139366","Columbus State University","Georgia","3483","1860","888","70","958","31907-5645","Muscogee County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-84.9411","32.501","52892816","45974128","","41002240","","17405420","56147","224006","3782233","124718600","18130010","11211320","58733240","32250720","508030","225046","44383008","18710076","10884941","2626495","11211320","","126929600","53812336","62632472","68272376","124718600","126929600","48258896","-23590648","101.91","","","6532"
"2017","139463","Dalton State College","Georgia","","","","","","30720-3797","Whitfield County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-85.0028","34.7742","17974344","9812800","","16867092","","11543786","121908","1330633","1064216","45451988","16673631","5610893","17711828","12667662","","","11942083","5105444","3119623","815368","5610893","","44482076","20083666","10687778","11595908","45451988","44482076","33137356","2274851","101.91","","","4026"
"2017","139621","East Georgia State College","Georgia","","","","","","30401","Emanuel County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-82.309","32.5949","8349380","4096626","","9237733","","8414373","274752","5250","872343","26533620","8691498","4365503","10395773","6420345","","","9074984","3846799","2293682","743855","4365503","","26129942","11010999","253644","289718","26533620","26129942","19564682","2793717","101.91","","","2489"
"2017","139700","Georgia Highlands College","Georgia","","","","","","30161-3897","Floyd County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-85.2074","34.1698","18247684","12721877","","17528244","","12270437","313013","382790","270068","46441224","15553612","6745109","15109159","10675472","","","17626092","7837891","1785037","530909","6745109","","46920420","19751868","39054","40226","46441224","46920420","20924854","-8225675","101.91","","","4122"
